id,eventDate,number,prizeThirdNumber,prizeType,eventType,eventLetters,eventSerie,eventFolio
2011-01-03F,2011-01-03,7219,1,F,Dominical,CDCC,12,2
2011-01-03S,2011-01-03,1850,5,S,Dominical,CDCC,12,2
2011-01-03T,2011-01-03,0903,0,T,Dominical,CDCC,12,2
2011-01-06F,2011-01-06,7940,4,F,Intermedio,BCAD,9,8
2011-01-06S,2011-01-06,1855,5,S,Intermedio,BCAD,9,8
2011-01-06T,2011-01-06,8009,0,T,Intermedio,BCAD,9,8
2011-01-10F,2011-01-10,7141,4,F,Dominical,CABB,2,2
2011-01-10S,2011-01-10,4313,1,S,Dominical,CABB,2,2
2011-01-10T,2011-01-10,3585,8,T,Dominical,CABB,2,2
2011-01-13F,2011-01-13,8546,4,F,Intermedio,CCBA,11,7
2011-01-13S,2011-01-13,3998,9,S,Intermedio,CCBA,11,7
2011-01-13T,2011-01-13,9140,4,T,Intermedio,CCBA,11,7
2011-01-16F,2011-01-16,4856,5,F,Dominical,ABCD,2,6
2011-01-16S,2011-01-16,8174,7,S,Dominical,ABCD,2,6
2011-01-16T,2011-01-16,6148,4,T,Dominical,ABCD,2,6
2011-01-19F,2011-01-19,7067,6,F,Intermedio,DAAA,13,9
2011-01-19S,2011-01-19,2583,8,S,Intermedio,DAAA,13,9
2011-01-19T,2011-01-19,7658,5,T,Intermedio,DAAA,13,9
2011-01-23F,2011-01-23,3192,9,F,Dominical,CACA,8,15
2011-01-23S,2011-01-23,6329,2,S,Dominical,CACA,8,15
2011-01-23T,2011-01-23,6802,0,T,Dominical,CACA,8,15
2011-01-26F,2011-01-26,128,2,F,Intermedio,DDAD,15,8
2011-01-26S,2011-01-26,7152,5,S,Intermedio,DDAD,15,8
2011-01-26T,2011-01-26,8099,9,T,Intermedio,DDAD,15,8
2011-01-28F,2011-01-28,8356,5,F,Zodiaco,BBDB,4,13
2011-01-28S,2011-01-28,14,1,S,Zodiaco,BBDB,4,13
2011-01-28T,2011-01-28,25,2,T,Zodiaco,BBDB,4,13
2011-01-30F,2011-01-30,8780,8,F,Dominical,CCAC,7,13
2011-01-30S,2011-01-30,2018,1,S,Dominical,CCAC,7,13
2011-01-30T,2011-01-30,8567,6,T,Dominical,CCAC,7,13
2011-02-02F,2011-02-02,5097,9,F,Intermedio,DDDB,8,11
2011-02-02S,2011-02-02,0525,2,S,Intermedio,DDDB,8,11
2011-02-02T,2011-02-02,3679,7,T,Intermedio,DDDB,8,11
2011-02-06F,2011-02-06,5821,2,F,Dominical,CDBB,17,13
2011-02-06S,2011-02-06,0075,7,S,Dominical,CDBB,17,13
2011-02-06T,2011-02-06,4087,8,T,Dominical,CDBB,17,13
2011-02-09F,2011-02-09,2015,1,F,Intermedio,DDAC,12,15
2011-02-09S,2011-02-09,1840,4,S,Intermedio,DDAC,12,15
2011-02-09T,2011-02-09,1836,3,T,Intermedio,DDAC,12,15
2011-02-13F,2011-02-13,4432,3,F,Dominical,ABDD,19,11
2011-02-13S,2011-02-13,2844,4,S,Dominical,ABDD,19,11
2011-02-13T,2011-02-13,7862,6,T,Dominical,ABDD,19,11
2011-02-16F,2011-02-16,8667,6,F,Intermedio,DCCA,12,12
2011-02-16S,2011-02-16,8897,9,S,Intermedio,DCCA,12,12
2011-02-16T,2011-02-16,3895,9,T,Intermedio,DCCA,12,12
2011-02-20F,2011-02-20,3645,4,F,Dominical,DCBC,5,9
2011-02-20S,2011-02-20,7305,0,S,Dominical,DCBC,5,9
2011-02-20T,2011-02-20,4909,0,T,Dominical,DCBC,5,9
2011-02-23F,2011-02-23,4372,7,F,Intermedio,ACAC,9,7
2011-02-23S,2011-02-23,0682,8,S,Intermedio,ACAC,9,7
2011-02-23T,2011-02-23,8240,4,T,Intermedio,ACAC,9,7
2011-02-25F,2011-02-25,986,8,F,Zodiaco,ADDC,4,10
2011-02-25S,2011-02-25,36,3,S,Zodiaco,ADDC,4,10
2011-02-25T,2011-02-25,49,4,T,Zodiaco,ADDC,4,10
2011-02-27F,2011-02-27,8659,5,F,Dominical,DCCD,18,13
2011-02-27S,2011-02-27,4194,9,S,Dominical,DCCD,18,13
2011-02-27T,2011-02-27,2202,0,T,Dominical,DCCD,18,13
2011-03-02F,2011-03-02,5938,3,F,Intermedio,ABBA,10,13
2011-03-02S,2011-03-02,1011,1,S,Intermedio,ABBA,10,13
2011-03-02T,2011-03-02,5178,7,T,Intermedio,ABBA,10,13
2011-03-06F,2011-03-06,5495,9,F,Dominical,DCAC,7,15
2011-03-06S,2011-03-06,9560,6,S,Dominical,DCAC,7,15
2011-03-06T,2011-03-06,6332,3,T,Dominical,DCAC,7,15
2011-03-10F,2011-03-10,1385,8,F,Intermedio,DCDC,7,11
2011-03-10S,2011-03-10,4613,1,S,Intermedio,DCDC,7,11
2011-03-10T,2011-03-10,3978,7,T,Intermedio,DCDC,7,11
2011-03-13F,2011-03-13,5017,1,F,Dominical,DCDA,6,6
2011-03-13S,2011-03-13,5925,2,S,Dominical,DCDA,6,6
2011-03-13T,2011-03-13,2566,6,T,Dominical,DCDA,6,6
